2024/10/05 05:30:32 [error] 202#202: *39 html_site could not be resolved (2: Server failure), client: 107.197.155.85, server: thomasgroupusa.com, request: "GET / HTTP/1.1", host: "thomasgroupusa.com", referrer: "http://thomasgroupusa.com:81/"
2024/10/05 05:35:44 [error] 246#246: *141 html_site could not be resolved (2: Server failure), client: 107.197.155.85, server: thomasgroupusa.com, request: "GET / HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:14 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/LA.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/LA.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:16 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/themes.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/themes.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:18 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/worksec.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/worksec.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:21 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/wso112233.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/wso112233.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:21 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/radio.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/radio.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:22 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/shimo.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/shimo.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:32 [warn] 244#244: *13338 using uninitialized "server" variable while logging request, client: 54.184.226.94, server: thomasgroupusa.com, request: "TRACE / HTTP/1.1", host: "thomasgroupusa.com"
2024/10/07 07:44:41 [warn] 260#260: *13879 using uninitialized "server" variable while logging request, client: 35.162.140.124, server: thomasgroupusa.com, request: "TRACE / HTTP/1.1", host: "thomasgroupusa.com"
2024/10/07 19:43:02 [warn] 274#274: *14804 using uninitialized "server" variable while logging request, client: 54.184.226.94, server: thomasgroupusa.com, request: "TRACE / HTTP/1.1", host: "thomasgroupusa.com"
2024/10/07 22:56:06 [warn] 185#185: *1 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 107.197.155.85, server: thomasgroupusa.com, request: "GET /images/hometown/greenworks_bike.jpg HTTP/1.1", upstream: "http://192.168.2.20:80/images/hometown/greenworks_bike.jpg", host: "thomasgroupusa.com", referrer: "https://thomasgroupusa.com/images/hometown/"
2024/10/07 23:06:17 [warn] 186#186: *1 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 107.197.155.85, server: thomasgroupusa.com, request: "GET /images/hometown/hometown_store.jpg HTTP/1.1", upstream: "http://192.168.2.20:80/images/hometown/hometown_store.jpg", host: "thomasgroupusa.com", referrer: "https://thomasgroupusa.com/"
2024/10/07 23:11:19 [warn] 186#186: *23 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/00/0000000002 while reading upstream, client: 107.197.155.85, server: thomasgroupusa.com, request: "GET /images/hometown/greenworks_bike.jpg HTTP/1.1", upstream: "http://192.168.2.20:80/images/hometown/greenworks_bike.jpg", host: "thomasgroupusa.com", referrer: "https://thomasgroupusa.com/images/hometown/"
2024/10/07 23:23:23 [warn] 181#181: *21 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 107.197.155.85, server: thomasgroupusa.com, request: "GET /images/hometown/greenworks_bike.jpg HTTP/1.1", upstream: "http://192.168.2.20:80/images/hometown/greenworks_bike.jpg", host: "thomasgroupusa.com"
2024/10/07 23:36:10 [warn] 184#184: *15 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 107.197.155.85, server: thomasgroupusa.com, request: "GET /images/hometown/hometown_store.jpg HTTP/1.1", upstream: "http://192.168.2.20:80/images/hometown/hometown_store.jpg", host: "thomasgroupusa.com", referrer: "https://thomasgroupusa.com/"
2024/10/07 23:36:10 [warn] 184#184: *17 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/00/0000000002 while reading upstream, client: 107.197.155.85, server: thomasgroupusa.com, request: "GET /images/hometown/greenworks_bike.jpg HTTP/1.1", upstream: "http://192.168.2.20:80/images/hometown/greenworks_bike.jpg", host: "thomasgroupusa.com", referrer: "https://thomasgroupusa.com/"
2024/10/07 23:36:10 [warn] 184#184: *13 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/00/0000000003 while reading upstream, client: 107.197.155.85, server: thomasgroupusa.com, request: "GET /images/hometown/hometown_hours.jpg HTTP/1.1", upstream: "http://192.168.2.20:80/images/hometown/hometown_hours.jpg", host: "thomasgroupusa.com", referrer: "https://thomasgroupusa.com/"
